State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.92769	0.92729	0.93500	0.94353	0.95327	0.96220	0.96464	0.96302	0.96545	0.95896	0.94678	0.93825	0.93216	0.91836	0.90009	0.89115	0.88222	0.87370	0.86152	0.85624	0.86395
2	0.65706	0.65756	0.65902	0.65932	0.65776	0.65530	0.65505	0.65525	0.65620	0.66113	0.67027	0.67901	0.68866	0.69378	0.70227	0.70735	0.71508	0.72186	0.72835	0.73769	0.74372
3	0.57562	0.57634	0.56554	0.55331	0.57346	0.59504	0.61015	0.62454	0.64253	0.64901	0.65261	0.65692	0.66556	0.68498	0.70513	0.73679	0.74758	0.77852	0.79723	0.79867	0.82241
4	2.67958	2.71234	2.70579	2.71234	2.69268	2.64682	2.58786	2.49614	2.45683	2.41752	2.28649	2.23407	2.27338	2.24063	2.18166	2.21442	2.26683	2.17511	2.14235	2.08339	2.13580
5	3.45414	3.45566	3.46534	3.48214	3.49232	3.49384	3.48825	3.46686	3.42206	3.38643	3.36657	3.33094	3.27036	3.22607	3.17363	3.10338	3.01378	2.94251	2.88651	2.81371	2.73684
6	1.52483	1.53315	1.53433	1.48802	1.46308	1.43576	1.39658	1.36807	1.33126	1.33126	1.28613	1.25882	1.28138	1.25169	1.24457	1.20538	1.20775	1.20894	1.19944	1.20300	1.18875
7	1.83628	1.82297	1.80967	1.82963	1.78638	1.78971	1.84293	1.82963	1.91279	1.87953	1.81965	1.78305	1.67660	1.63003	1.58679	1.60009	1.56683	1.48699	1.44374	1.46370	1.51360
8	1.27988	1.29739	1.35263	1.37688	1.40921	1.45637	1.47658	1.51430	1.57627	1.61669	1.65980	1.63286	1.63420	1.68809	1.65845	1.66519	1.67462	1.68270	1.74333	1.74602	1.77970
9	2.02537	1.99800	2.00713	2.42680	2.31732	2.37206	2.39031	2.77349	2.68225	2.63664	2.77349	2.76436	2.61839	2.73699	2.75524	2.72787	2.81910	2.76436	2.73699	2.65488	2.67313
10	1.67947	1.60620	1.49349	1.47094	1.57239	1.58366	1.71892	1.81473	2.09088	2.44030	2.27123	2.36703	2.19796	2.22614	2.20360	2.37831	2.23178	2.42903	2.23741	2.15851	2.06270
11	3.85820	3.89777	3.83182	3.81863	3.54163	3.47568	3.35697	3.24485	3.14592	2.89530	2.68425	2.93487	3.11954	3.11954	3.09975	3.14592	3.08656	2.96785	3.08656	3.09975	3.23825
12	5.66576	5.59804	5.55289	5.16916	5.02243	4.61612	4.31139	3.84865	3.51006	3.26176	3.12632	2.78773	2.73130	2.73130	3.05861	2.96831	3.04732	3.05861	2.76516	2.86674	2.92317
13	2.70482	2.78348	2.55960	2.62616	2.69272	2.77138	2.80164	2.95291	2.99527	3.00737	2.99527	2.87425	2.75928	2.57775	2.47488	2.40832	2.51724	2.52934	2.62011	2.41437	2.26915
14	1.26939	1.22388	1.18342	1.13284	1.01147	1.12273	1.22893	1.27951	1.46157	1.42111	1.36548	1.24411	1.29974	1.21376	1.18847	1.22388	1.38065	1.39583	1.26939	1.36042	1.21376
15	2.80575	2.60854	2.50993	2.18723	2.49200	2.41133	2.34858	2.34858	2.05277	1.81970	1.80177	1.73902	1.44321	1.66731	1.65835	1.75695	1.67628	1.64938	1.83763	1.78385	1.64938
