State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.26282	1.27537	1.28898	1.26927	1.23846	1.16750	1.08365	0.97435	0.86398	0.79267	0.75683	0.75540	0.81166	0.88799	0.97937	1.06931	1.13095	1.16535	1.19438	1.18793	1.18829
2	0.75067	0.73129	0.70606	0.67161	0.62487	0.56793	0.49779	0.42981	0.38383	0.36223	0.35434	0.35540	0.36822	0.38374	0.40644	0.43287	0.46453	0.49304	0.51370	0.53180	0.54492
3	0.69224	0.67509	0.65541	0.62619	0.59317	0.54935	0.49854	0.44392	0.39883	0.38867	0.37470	0.37534	0.37978	0.39756	0.41535	0.42360	0.44964	0.45790	0.46869	0.47885	0.48203
4	1.12185	1.05245	0.96571	0.89632	0.82114	0.76910	0.68236	0.58984	0.53201	0.56671	0.58405	0.56671	0.53201	0.59562	0.67658	0.86162	1.13919	1.34737	1.50929	1.72903	1.88516
5	0.82679	0.77152	0.71535	0.64705	0.58774	0.54101	0.49518	0.45249	0.43541	0.42283	0.41924	0.42957	0.43856	0.45024	0.46687	0.50506	0.56887	0.68120	0.81646	0.97283	1.09685
6	1.34589	1.15407	0.94967	0.74422	0.61529	0.51781	0.47798	0.47379	0.44968	0.45282	0.45702	0.45911	0.48008	0.50733	0.53249	0.58175	0.74842	1.21487	1.84903	2.52931	3.23161
7	2.63085	2.55157	2.22271	1.81458	1.38883	0.96601	0.88674	0.77222	0.73699	0.72231	0.76342	0.76635	0.73993	0.79571	0.87499	1.14806	2.29612	4.05198	5.76085	6.63878	6.99406
8	2.69578	2.86226	2.93599	3.04420	3.00258	2.73502	2.26293	1.71355	1.21887	1.07855	1.02861	0.97866	0.96558	1.04644	1.13087	1.28665	1.45551	1.64577	1.80274	1.84673	1.79085
9	3.05196	3.17275	3.30160	3.40628	3.44655	3.72839	3.25328	2.55270	1.86822	1.36090	1.27232	1.25622	1.32064	1.23206	1.03880	1.28843	1.49780	1.76354	1.82796	1.73133	1.65885
10	3.44231	3.86016	4.64612	5.97429	8.12324	11.02831	14.84370	16.97773	15.10237	7.94914	3.73082	3.82534	4.64612	5.84495	7.02389	6.31753	4.87992	3.71092	3.04933	2.41757	2.18875
11	4.12727	4.71522	5.66409	6.98551	9.59926	13.91281	21.85302	35.10221	52.17014	67.24139	74.26183	66.95033	49.16637	32.69803	21.27089	13.38890	8.55725	5.89694	4.20877	3.09691	2.38672
12	6.21623	7.58101	9.77262	13.12978	17.91149	22.80279	27.32549	27.66419	23.87867	15.20186	15.00262	41.59093	65.56922	80.29291	77.79247	62.97913	44.77874	31.28036	21.75679	15.50072	11.59565
13	6.62813	7.59484	8.74849	9.35201	8.74849	7.69632	5.25016	3.78674	2.92150	2.38741	2.00820	2.14172	2.64911	4.19799	9.60304	18.39959	25.28943	26.18137	24.13578	21.14485	18.04709
14	2.23193	2.40155	2.70063	3.07560	3.54430	3.91480	4.03979	3.22737	2.21854	1.86143	1.76769	1.33916	1.21863	1.39272	1.75876	2.57564	3.11131	3.02203	2.42387	2.07123	1.80786
15	3.29935	3.91649	4.76309	6.70155	8.93277	12.01058	15.00927	17.73103	19.41631	25.80138	26.54512	15.77674	15.30201	15.70553	15.22289	14.22597	11.86025	8.90112	6.33760	4.91342	3.79781
