State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	8.56372	0.52860	0.81755	0.91279	0.94687	0.75686	1.15873	1.62852
2	69.20727	0.28554	0.59427	0.81275	0.67034	0.35435	0.54219	1.09016
3	4.83212	0.42174	0.50144	0.62135	0.65267	0.37471	0.51057	1.19058
4	0.53069	0.40065	2.99245	1.80304	2.28673	0.58407	0.82230	0.28841
5	6.82954	0.62341	3.76006	2.17090	3.36591	0.41925	0.64359	0.28278
6	2.92768	0.43054	1.65941	2.28844	1.28508	0.45703	0.90568	0.14075
7	1.04516	0.25481	1.69493	2.26937	1.81984	0.76344	1.96068	0.10999
8	2.58069	0.37653	1.20923	1.21979	1.65997	1.02864	1.86509	0.37850
9	0.38109	0.48236	1.93037	1.18787	2.77377	1.27236	2.16254	0.18573
10	0.61692	2.53095	1.60102	1.06091	2.27146	3.73094	6.51386	0.27689
11	0.52717	76.93467	9.50895	1.30665	2.68453	74.25829	21.81328	0.34037
12	0.30805	36.12718	6.60206	2.16438	3.12665	15.00308	25.61721	0.16343
13	0.57458	0.69106	2.31779	2.19262	2.99558	2.00826	8.83805	0.13664
14	0.68748	0.44840	1.12262	1.18330	1.36562	1.76774	2.47942	0.52206
15	0.38786	32.40327	4.01361	1.01546	1.80196	26.54593	12.18132	0.92003
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
