State (Emission order)	H3K4me1	H3K4me2	H3K4me3	H3K27ac	H3K9ac	H3K79me2	H4K20me1	H3K36me3	H3K9me3	H3K27me3
1	0.002219298716176258	9.86109125598409E-4	1.4375297515766037E-5	8.632294366991782E-5	2.531785138022817E-5	7.501448077645383E-5	0.007380320681543505	3.6735402872965594E-4	0.014378714079188648	0.39418010467171244
2	0.0013692245758570234	3.506423513089685E-4	3.217420977016989E-5	1.1308744913732398E-4	4.766647457421026E-5	1.9138999253910395E-4	0.001566652424158608	9.693881685117364E-4	0.005221885073605853	0.004933136418025548
3	9.521581920563101E-4	2.196240599119072E-4	2.2378959858357643E-4	7.556687613808133E-5	4.596569349733649E-5	2.3057886921812345E-4	0.002045536577500834	0.007896473175652854	0.3025065960757829	0.005618308938609674
4	0.025491838731332046	0.0031306371900240966	0.019612857805608407	0.002432331513271007	0.004687644095876077	0.22231664838379414	0.044551021317257355	0.6335458698329076	0.7836689736782925	0.0010506304652441374
5	0.01217884922631297	1.139070821934387E-4	1.5052903109672E-5	6.920096787040623E-4	3.2703817464618075E-4	0.03564599682417381	0.02153341136563853	0.21107689221869622	0.002249363650786055	4.103676991556088E-5
6	0.046971868695137836	5.050726764899542E-4	5.0783744970215804E-5	9.131452288731845E-4	4.75739485370264E-4	0.6683343815490945	0.10932039009528098	0.21080483798571228	0.008682884335118103	7.450394910811097E-5
7	0.8043152251466178	0.2374551353094185	0.019566452879699686	0.06407587022517901	0.06885866845253545	0.8878222238616782	0.2294630883741258	0.28000696175292344	0.010120184313346237	9.813862218096121E-5
8	0.5102280316525115	0.020609178887829288	6.158430802804908E-4	0.014084431133912794	0.011418240110705821	0.011526009787675812	0.004910438855821102	0.01558458053923959	0.009297931182148214	0.0012939868493578564
9	0.9407492146756732	0.3356392898800489	0.021029401540078103	0.5466947852748198	0.6182022225003014	0.07338357444938172	0.0076670627328561235	0.10996231514455146	0.03651940695216587	1.8951180702081474E-4
10	0.9452515313730405	0.9999996409169121	0.8226082673808021	0.8869795404434654	0.9631480233135072	0.05255116992305938	0.004174999045215054	0.012357483890112219	0.004558109317223664	0.0036029810791004388
11	0.039549510401928854	0.805989113050245	0.9826380311598732	0.9769303761455921	0.9582491010551221	0.018316393520882567	7.611789370869323E-4	0.001092486876080243	0.005365836703201506	0.027906818896410023
12	0.06246818614775186	0.9405818332854536	1.0	0.99300972230243	0.9989250233216858	0.9834025616687756	0.06937917442586654	0.09521086674169343	0.005692275811283871	0.0017056005658036345
13	0.9351329406256886	0.9743781326309028	0.73616368259512	0.7461325131244779	0.8476187020686589	0.9638662930067005	0.1707268749397887	0.25017601726843036	0.009279120250691273	1.753064709840605E-4
14	0.8645573270935953	0.9446308729382716	0.20794683538473768	0.08661872756382166	0.15256639847554115	0.016713058540037334	0.005584158026309682	0.01041574241080492	0.00574538967344109	0.0012593652640205035
15	0.2033896400372097	0.7645923838467299	0.438259741001382	0.11590420103044967	0.07733493619696907	0.007421834297154194	0.015409553000261655	0.00240663746722432	0.027948414031934096	0.2550704703567395
