15	10	E	-9223384.010276219	163
probinit	1	1.4688562E-315
probinit	2	1.0
probinit	3	8.430658607881448E-231
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	2.018637953645017E-263
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	0.0
probinit	13	0.0
probinit	14	0.0
probinit	15	0.0
transitionprobs	1	1	0.9609532979011741
transitionprobs	1	2	0.03321106630688323
transitionprobs	1	3	0.0014241498205191435
transitionprobs	1	4	0.0
transitionprobs	1	5	0.0
transitionprobs	1	6	0.0
transitionprobs	1	7	0.0
transitionprobs	1	8	5.69839410954086E-5
transitionprobs	1	9	0.0
transitionprobs	1	10	0.0
transitionprobs	1	11	0.0
transitionprobs	1	12	0.0
transitionprobs	1	13	0.0
transitionprobs	1	14	0.0
transitionprobs	1	15	0.004354502030327957
transitionprobs	2	1	0.004324582636667981
transitionprobs	2	2	0.9809399308526674
transitionprobs	2	3	0.005588234049463498
transitionprobs	2	4	0.0
transitionprobs	2	5	5.855053103891102E-4
transitionprobs	2	6	0.0
transitionprobs	2	7	0.0
transitionprobs	2	8	0.00687620059554621
transitionprobs	2	9	0.0
transitionprobs	2	10	1.1834894253820878E-4
transitionprobs	2	11	1.0049017626281296E-4
transitionprobs	2	12	1.6416257203523128E-6
transitionprobs	2	13	1.9684957584532494E-6
transitionprobs	2	14	5.089308458121536E-4
transitionprobs	2	15	9.541664691739516E-4
transitionprobs	3	1	0.0022208490012883306
transitionprobs	3	2	0.06836206364649906
transitionprobs	3	3	0.9212638072442074
transitionprobs	3	4	0.00497393440337366
transitionprobs	3	5	0.0
transitionprobs	3	6	0.0
transitionprobs	3	7	0.0
transitionprobs	3	8	0.0019234165897473257
transitionprobs	3	9	2.372129323928379E-4
transitionprobs	3	10	1.6372695216612843E-5
transitionprobs	3	11	5.698375362786343E-5
transitionprobs	3	12	6.97656793477269E-6
transitionprobs	3	13	1.0104826657977907E-6
transitionprobs	3	14	8.575830234986417E-5
transitionprobs	3	15	8.516143806964488E-4
transitionprobs	4	1	3.6016820151190284E-7
transitionprobs	4	2	0.0
transitionprobs	4	3	0.050931791502969934
transitionprobs	4	4	0.8486036286866395
transitionprobs	4	5	0.07244207871205569
transitionprobs	4	6	0.017025732741378287
transitionprobs	4	7	0.0014408887296105755
transitionprobs	4	8	0.003856028353249551
transitionprobs	4	9	0.003381787864191802
transitionprobs	4	10	0.0
transitionprobs	4	11	0.0
transitionprobs	4	12	1.2255992319576436E-4
transitionprobs	4	13	9.97346293842277E-4
transitionprobs	4	14	1.230549787853628E-4
transitionprobs	4	15	0.0010747420458798226
transitionprobs	5	1	0.0
transitionprobs	5	2	0.005904827051229098
transitionprobs	5	3	0.0
transitionprobs	5	4	0.0059669181914633615
transitionprobs	5	5	0.9651195710994905
transitionprobs	5	6	0.011029648509367286
transitionprobs	5	7	0.00181421679133013
transitionprobs	5	8	0.008506688699728484
transitionprobs	5	9	0.0011531190976450665
transitionprobs	5	10	3.539253542054379E-6
transitionprobs	5	11	6.595337237140224E-5
transitionprobs	5	12	2.268217568792705E-5
transitionprobs	5	13	1.695529745638654E-4
transitionprobs	5	14	9.155624120887323E-5
transitionprobs	5	15	1.5172654237205154E-4
transitionprobs	6	1	0.0
transitionprobs	6	2	0.0
transitionprobs	6	3	0.0
transitionprobs	6	4	0.00326869097819421
transitionprobs	6	5	0.025902147227214338
transitionprobs	6	6	0.911492520863563
transitionprobs	6	7	0.05639522493696563
transitionprobs	6	8	3.0370125143337133E-4
transitionprobs	6	9	0.0
transitionprobs	6	10	9.373178438720317E-6
transitionprobs	6	11	1.746148044696466E-5
transitionprobs	6	12	2.3335898326402266E-4
transitionprobs	6	13	0.0022341355287033514
transitionprobs	6	14	0.0
transitionprobs	6	15	1.4338557177638202E-4
transitionprobs	7	1	0.0
transitionprobs	7	2	0.0
transitionprobs	7	3	0.0
transitionprobs	7	4	7.329139220469818E-4
transitionprobs	7	5	0.011755749574194018
transitionprobs	7	6	0.153129214627341
transitionprobs	7	7	0.7550511228477672
transitionprobs	7	8	0.00980160243202766
transitionprobs	7	9	0.0020082609959638704
transitionprobs	7	10	0.0
transitionprobs	7	11	0.0
transitionprobs	7	12	4.108818160171894E-4
transitionprobs	7	13	0.06491976236266245
transitionprobs	7	14	0.0018726453645715087
transitionprobs	7	15	3.1784605740794054E-4
